"date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"6641",2015-02-16 05:28:00,20.39,25.5,0,791.5,0.00377301692061835,0
"3370",2015-02-13 22:57:00,20.1,31.89,0,513,0.00464107161240899,0
"7210",2015-02-16 14:57:00,21.7,29,454,912,0.00465713347075559,1
"5099",2015-02-15 03:46:00,20.1,33.2,0,551.5,0.00483320226312693,0
"7568",2015-02-16 20:55:00,20.39,30.29,0,729.5,0.00448686479549351,0
"3114",2015-02-13 18:40:59,21.29,32.4666666666667,0,541,0.00508807462614412,0
"4822",2015-02-14 23:09:00,20,35.79,0,527.666666666667,0.00518096065214833,0
"2790",2015-02-13 13:17:00,23.89,25.39,246,564,0.0046563542246453,0
"8158",2015-02-17 06:45:00,20.5,30.39,0,761.666666666667,0.0045326819356264,0
"5345",2015-02-15 07:52:00,20.1,31.2675,0,604,0.00454981416285224,0
"2622",2015-02-13 10:28:59,23.23,24.2933333333333,765.666666666667,607.333333333333,0.00427890352931815,1
"2672",2015-02-13 11:19:00,23.675,25.575,797,715,0.00462980013701136,1
"3545",2015-02-14 01:52:00,19.89,35.9,0,502.5,0.0051614179748336,0
"573",2015-02-12 00:20:00,20.6,27.2,0,506,0.00407903741219696,0
"8135",2015-02-17 06:22:00,20.39,30.3566666666667,0,755,0.0044968115392718,0
"3624",2015-02-14 03:10:59,19.79,36.4,0,501,0.00520127761282888,0
"4676",2015-02-14 20:43:00,19.89,35.4,0,533,0.00508894378907528,0
"1201",2015-02-12 10:47:59,23.79,22.79,293.666666666667,829,0.00415112041786,0
"4686",2015-02-14 20:53:00,19.89,35.45,0,531,0.00509619045388799,0
"2865",2015-02-13 14:31:59,23.39,27,560.25,562,0.00480585433033931,1
"4268",2015-02-14 13:54:59,20.4175,35.3175,37,504,0.00524683827427915,0
"5152",2015-02-15 04:38:59,20.1,32.4,0,565,0.00471585656536653,0
"6636",2015-02-16 05:23:00,20.39,25.6,0,795.5,0.00378790317209926,0
"9052",2015-02-17 21:39:00,20.89,32.9,0,1588.5,0.00503038210410195,0
"6638",2015-02-16 05:25:00,20.39,25.6,0,795,0.00378790317209926,0
"8596",2015-02-17 14:03:00,21.79,34,435,1203,0.00549756673731766,1
"2119",2015-02-13 02:06:00,21,24.55,0,577,0.00377156453430672,0
"8305",2015-02-17 09:11:59,20.9266666666667,30.89,419,858,0.00473146266936738,1
"6672",2015-02-16 05:58:59,20.445,25.245,0,795,0.00374784245133256,0
"3736",2015-02-14 05:03:00,19.625,37.7225,0,507.25,0.00533646708969625,0
"7890",2015-02-17 02:17:00,19.89,30.39,0,712.5,0.00436367615447494,0
"814",2015-02-12 04:21:00,20.65,24.445,0,558.5,0.00367482764578557,0
"1786",2015-02-12 20:32:59,21.2,28.745,0,559,0.00447564552181432,0
"4975",2015-02-15 01:41:59,20,34.8633333333333,0,536,0.00504572818676603,0
"601",2015-02-12 00:48:00,20.7,26.7,0,510,0.00402848470749634,0
"9214",2015-02-18 00:21:00,20.89,29,0,1030.5,0.00442982856778407,0
"1655",2015-02-12 18:22:00,21.89,28.1,0,599.5,0.00456461412387824,0
"279",2015-02-11 19:25:59,21.1,29.995,0,524,0.00464292570267342,0
"4071",2015-02-14 10:38:00,20.2,36.2,62,515.5,0.00530665000216417,0
"683",2015-02-12 02:10:00,20.5,25.79,0,548,0.00384235162726924,0
